Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2054"" target='_blank'>Reduced Deforestation and Forest Degradation in Guyana</a>",Environmental Conservation,1598964,0,,Guyana,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8675"" target='_blank'>
Consolidation of Upper Purus Mosaic, Peru</a>",Environmental Conservation,1600000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4943"" target='_blank'>Consolidation of Upper Purus Mosaic, Peru</a>",Environmental Conservation,1600000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5483"" target='_blank'>Assessing Pan-Amazon Forest Degradation and Climate Risks</a>",Environmental Conservation,1600000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3445"" target='_blank'>Zoning for Conservation in Loreto, Peru</a>",Environmental Conservation,1636588,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3564"" target='_blank'>Land use planning and protected areas in Loreto, Peru</a>",Environmental Conservation,1667500,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2151"" target='_blank'>Sustainable production incenting conservation on private lands in Brazil</a>",Environmental Conservation,1685462,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF288"" target='_blank'>Gabon Parks Project</a>",Environmental Conservation,1692845,0,,Gabon,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1956.01"" target='_blank'>Avoiding deforestation in Rondônia, Brazil through the consolidation of Protected Areas and Indigenous Lands</a>",Environmental Conservation,1700000,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4282"" target='_blank'>Consolidation of the Lower Rio Negro Mosaic</a>",Environmental Conservation,1700000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3507.01"" target='_blank'>Consolidation of the Ampiyacu Mosaic in Loreto, Peru</a>",Environmental Conservation,1703000,0,,Peru,Moore Foundation,,,0,National
