Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.thegef.org/project/realising-potential-native-microbes-agricultural-and-medical-sectors-accordance-nagoya"" target='_blank'>Realising the potential of native microbes in the agricultural and medical sectors, in accordance with the Nagoya Protocol</a>",Biodiversity,863242,14512044,United Nations Development Programme,Panama,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/strengthen-institutional-and-technical-capacities-agricultural-and-forestry-sectors"" target='_blank'>Strengthen institutional and technical capacities in the agricultural and forestry sectors of Nicaragua to respond to the requirements of the enhanced transparency framework under the Paris Agreement</a>",Climate Change,863242,5491524,Food and Agriculture Organization,Nicaragua,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/strengthen-capacity-ensure-transparency-action-implemented-and-support-received-implement"" target='_blank'>Strengthen capacity to ensure transparency of action implemented and support received to implement Fiji’s Nationally Determined Contributions (NDCs) and Low Emissions Development Strategy (LEDS)</a>",Climate Change,1430000,100000,United Nations Environment Programme,Fiji,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/strengthening-guatemalas-transparency-framework-through-capacity-building-implement-paris"" target='_blank'>Strengthening Guatemala's transparency framework through capacity building to implement the Paris Agreement </a>",Climate Change,1500000,100000,United Nations Development Programme,Guatemala,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/restoring-degraded-watershed-and-livelihoods-lakhandei-river-basin-through-sustainable-land"" target='_blank'>Restoring the degraded watershed and livelihoods of Lakhandei river basin through Sustainable Land Management</a>",Land Degradation,1555505,7062500,International Union for Conservation of Nature,Nepal,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/enabling-concerted-source-sea-management-paz-river-watershed"" target='_blank'>Enabling concerted Source to Sea management in the Paz river watershed</a>","International Waters, Chemicals and Waste",1685159,2293783,Food and Agriculture Organization,"Guatemala, El Salvador",GEF Trust Fund,2018 - 2022,Project Approved,0,Transnational
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-program-ecuador"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Program  in Ecuador</a>",Biodiversity,1826484,3097134,United Nations Development Programme,Ecuador,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/establish-integral-mrvme-system-enhance-climate-transparency-paraguay"" target='_blank'>Establish an integral MRV/M&amp;E system to enhance climate transparency in Paraguay</a>",Climate Change,1842500,350000,United Nations Environment Programme,Paraguay,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/strengthening-capacity-institutions-indonesia-comply-transparency-requirements-paris"" target='_blank'>Strengthening the Capacity of Institutions in Indonesia to comply with the Transparency Requirements of the Paris Agreement (CBIT)</a>",Climate Change,1900000,1000000,United Nations Development Programme,"Indonesia, West Papua",GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/strengthening-thailands-institutional-and-technical-capacities-comply-enhanced-transparency"" target='_blank'>Strengthening Thailand's institutional and technical capacities to comply with the Enhanced Transparency Framework of the Paris Agreement</a>",Climate Change,1991000,1000000,United Nations Environment Programme,Thailand,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-programme-costa-rica"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Programme in Costa Rica </a>","Climate Change, Biodiversity, Land Degradation",2081945,5390000,United Nations Development Programme,Costa Rica,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/accelerating-investment-efficient-and-renewable-district-energy-systems-chile"" target='_blank'>Accelerating investment in efficient and renewable district energy systems in Chile</a>",Climate Change,2141781,16355000,United Nations Environment Programme,Chile,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/economic-instruments-and-tools-support-conservation-biodiversity-payment-ecosystem-services"" target='_blank'>Economic instruments and tools to support the conservation of biodiversity, the payment of ecosystem services and  sustainable development</a>",Biodiversity,2300000,11500000,United Nations Development Programme,Chile,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-programme-malaysia"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Programme in Malaysia</a>","Biodiversity, Climate Change",2500000,4100000,United Nations Development Programme,"Island Malaysia, Peninsular Malaysia",GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/mainstreaming-biodiversity-based-tourism-thailand-support-sustainable-tourism-development"" target='_blank'>Mainstreaming biodiversity-based tourism in Thailand to support sustainable tourism development</a>",Biodiversity,2639726,20100000,United Nations Development Programme,Thailand,GEF Trust Fund,2018 - 2022,Concept Approved,1,National
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-programme-kenya"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Programme in Kenya</a>","Biodiversity, Land Degradation",2655726,3100000,United Nations Development Programme,Kenya,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/mainstreaming-biodiversity-conservation-criteria-sectoral-and-intersectoral-public-policies"" target='_blank'>Mainstreaming biodiversity conservation criteria in sectoral and intersectoral public policies and programs to safeguard threatened wildlife in Argentina</a>",Biodiversity,2703196,16408250,United Nations Development Programme,Argentina,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/fourth-national-communication-and-4th-biennial-update-report-united-nations-framework"" target='_blank'>Fourth National Communication and 4th Biennial Update Report to the United Nations Framework Convention on Climate Change (UNFCCC)</a>",Climate Change,2852000,34186123,United Nations Development Programme,"Indonesia, West Papua",GEF Trust Fund,2018 - 2022,Concept Proposed,0,National
"<a href=""https://www.thegef.org/project/development-enabling-environment-sustainable-businesses-based-native-biodiversity-ecuador"" target='_blank'>Development of an enabling environment for sustainable businesses based on the native biodiversity of Ecuador</a>",Biodiversity,3119266,20500000,Development Bank of Latin America,Ecuador,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/accelerating-construction-energy-efficient-green-housing-units-thailand"" target='_blank'>Accelerating construction of energy efficient green housing units in Thailand</a>",Climate Change,3141142,31257095,United Nations Environment Programme,Thailand,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/natural-capital-accounting-and-assessment-informing-development-planning-sustainable-tourism"" target='_blank'>Natural Capital Accounting and Assessment: Informing development planning, sustainable tourism development and other incentives for improved conservation and sustainable landscapes </a>",Biodiversity,3502968,14592312,United Nations Environment Programme,Philippines,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/p-ramos-life"" target='_blank'>Páramos for Life</a>",Biodiversity,3502968,14011872,United Nations Development Programme,Colombia,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/strengthening-integral-and-sustainable-management-biodiversity-and-forests-indigenous"" target='_blank'>Strengthening the integral and sustainable management of biodiversity and forests by indigenous peoples and local communities in fragile ecosystems of the dry forests of the Bolivia Chaco</a>","Biodiversity, Land Degradation",3502968,25130000,Food and Agriculture Organization,Bolivia,GEF Trust Fund,2018 - 2022,Concept Approved,1,National
"<a href=""https://www.thegef.org/project/strengthening-management-and-governance-conservation-and-sustainable-use-globally"" target='_blank'>Strengthening management and governance for the conservation and sustainable use of globally significant biodiversity in coastal marine ecosystems in Chile </a>",Biodiversity,3502968,21828133,Food and Agriculture Organization,Chile,GEF Trust Fund,2018 - 2022,Concept Approved,1,National
"<a href=""https://www.thegef.org/project/el-salvador-integrated-landscape-management-and-restoration"" target='_blank'>El Salvador Integrated Landscape Management and Restoration</a>","Biodiversity, Land Degradation",3561644,16700000,The World Bank,El Salvador,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/colombias-2030-mrv-strategic-vision"" target='_blank'>Colombia's 2030 MRV Strategic Vision</a>",Climate Change,3791550,1000000,United Nations Development Programme,Colombia,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/capacity-building-establishing-integrated-and-enhanced-transparency-framework-climate"" target='_blank'>Capacity-building for establishing an Integrated and Enhanced Transparency Framework for Climate actions and support measures</a>",Climate Change,3800000,1000000,United Nations Development Programme,India,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/enhancing-capacity-sustainable-management-forests-land-and-biodiversity-eastern-hills-ecsm"" target='_blank'>Enhancing capacity for sustainable management of forests, land and biodiversity in the Eastern Hills (ECSM FoLaBi EH)</a>","Biodiversity, Land Degradation",4187900,28500000,Food and Agriculture Organization,Nepal,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/implementing-national-framework-access-and-benefit-sharing-genetic-resources-and-associated"" target='_blank'>Implementing the National Framework on Access and Benefit Sharing of Genetic Resources and Associated Traditional Knowledge in the Philippines</a>",Biodiversity,4384000,19100000,United Nations Development Programme,Philippines,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/towards-transboundary-integrated-water-resource-management-iwrm-sixaola-river-basin-shared"" target='_blank'>Towards the Transboundary Integrated Water Resource Management (IWRM) of the Sixaola River Basin shared by Costa Rica and Panama</a>",International Waters,4386210,18600000,United Nations Development Programme,"Costa Rica, Panama",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/conservation-and-sustainable-use-biodiversity-within-sustainable-use-areas-state-subsystem"" target='_blank'>Conservation and sustainable use of biodiversity within the sustainable use areas of the State Subsystem of Protected Areas (SEAP) of Ecuador and its buffer zones.</a>",Biodiversity,4416210,21207000,Food and Agriculture Organization,Ecuador,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/ldn-target-setting-and-restoration-degraded-landscapes-western-andes-and-coastal-areas"" target='_blank'>LDN Target-Setting and Restoration of Degraded Landscapes in Western Andes and Coastal areas</a>",Land Degradation,4416210,33977429,Food and Agriculture Organization,Ecuador,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/additional-financing-cambodia-sustainable-landscape-and-ecotourism-project"" target='_blank'>Additional Financing for the Cambodia Sustainable Landscape and Ecotourism Project </a>",Biodiversity,4422020,53160000,The World Bank,Cambodia,GEF Trust Fund,2018 - 2022,Project Approved,0,National
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-programme-philippines"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Programme in the Philippines</a>",Biodiversity,4436210,5400000,United Nations Development Programme,Philippines,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-programme-india"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Programme in India</a>","Biodiversity, Climate Change, Land Degradation",4474886,11000000,United Nations Development Programme,India,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/seventh-operational-phase-gef-small-grants-programme-brazil"" target='_blank'>Seventh Operational Phase of the GEF Small Grants Programme in Brazil </a>","Biodiversity, Climate Change",4481210,9945000,United Nations Development Programme,Brazil,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/technology-needs-assessments-tna-phase-iv"" target='_blank'>Technology Needs Assessments (TNA) Phase IV</a>",Climate Change,4590000,1535000,United Nations Environment Programme,"Ethiopia, Guinea-Bissau, Kiribati, Comoros, St. Kitts And Nevis, Maldives, Niue, Papua New Guinea, Solomon Islands, Somalia, South Sudan, Tonga, East Timor, Tuvalu, Yemen",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/fostering-water-security-trifinio-region-promoting-formulation-tdasap-its-transboundary"" target='_blank'>Fostering Water Security in the Trifinio Region: Promoting the formulation of a TDA/SAP for its transboundary Lempa River Basin. </a>",International Waters,4800000,39788000,United Nations Environment Programme,"Guatemala, Honduras, El Salvador",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/agtech-inclusion-and-sustainability-sp-venturesregional-fund-agventures-ii"" target='_blank'>Agtech for inclusion and sustainability: SP Ventures'Regional Fund (Agventures II)     </a>","Chemicals and Waste, Climate Change, Land Degradation",5000000,55000000,Inter-American Development Bank,"Argentina, Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Peru, Paraguay, Uruguay",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/building-resilience-through-sustainable-land-management-and-climate-change-adaptation-dodoma"" target='_blank'>Building resilience through sustainable land management and climate change adaptation in Dodoma</a>","Land Degradation, Climate Change",5117100,215218000,African Development Bank,Tanzania,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/integrated-transboundary-river-basin-management-sustainable-development-limpopo-river-basin"" target='_blank'>Integrated Transboundary River Basin Management for the Sustainable Development of the Limpopo River Basin</a>",International Waters,6000000,18610000,United Nations Development Programme,"Botswana, Mozambique, South Africa, Zimbabwe",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/be-clme-promoting-national-blue-economy-priorities-through-marine-spatial-planning-caribbean"" target='_blank'>“BE-CLME+”: Promoting National Blue Economy Priorities Through Marine Spatial Planning in the Caribbean Large Marine Ecosystem Plus </a>","Biodiversity, International Waters",6222018,40199250,Development Bank of Latin America,"Barbados, Belize, Guyana, Jamaica, St. Lucia, Panama",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/transforming-agricultural-systems-and-strengthening-local-economies-high-biodiversity-areas"" target='_blank'>Transforming agricultural systems and strengthening local economies in high biodiversity areas of India through sustainable landscape management and public-private finance</a>","Land Degradation, Biodiversity",6266883,70000000,United Nations Environment Programme,India,GEF Trust Fund,2018 - 2022,Concept Approved,1,National
"<a href=""https://www.thegef.org/project/towards-joint-integrated-ecosystem-based-management-pacific-central-american-coastal-large"" target='_blank'>Towards Joint Integrated, Ecosystem-based Management of the Pacific Central American Coastal Large Marine Ecosystem (PACA)</a>",International Waters,6877626,41312679,United Nations Development Programme,"Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Panama, El Salvador",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/lake-victoria-environmental-management-programme-phase-3"" target='_blank'>Lake Victoria Environmental Management Programme Phase 3</a>",International Waters,9132420,251000000,The World Bank,"Burundi, Kenya, Rwanda, Tanzania, Uganda",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/protecting-biodiversity-and-recovering-degraded-ecosystems-recover-honduras"" target='_blank'>Protecting biodiversity and recovering degraded ecosystems - RECOVER Honduras</a>","Biodiversity, Land Degradation",9863948,56200000,United Nations Development Programme,Honduras,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/mainstreaming-climate-change-and-ecosystem-based-approaches-sustainable-management-living"" target='_blank'>Mainstreaming climate change and ecosystem-based approaches into the sustainable management of the living marine resources of the WCPFC</a>",International Waters,10000000,82800000,United Nations Development Programme,"Cook Islands, Fiji, Micronesia, Kiribati, Marshall Islands, Nauru, Niue, Papua New Guinea, Palau, Solomon Islands, Tonga, Tuvalu, Vanuatu, Samoa",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/umbrella-programme-preparation-national-communications-ncs-and-biennial-update-reports-burs"" target='_blank'>Umbrella Programme for Preparation of National Communications (NCs) and Biennial Update Reports (BURs) to the UN Framework Convention on Climate Change (UNFCCC)</a>",Climate Change,10110480,1000000,United Nations Environment Programme,"Afghanistan, Azerbaijan, Burundi, Benin, Dominica, Fiji, Gambia, Mauritania, Pakistan, Sierra Leone, Senegal, Somalia, Suriname, South Sudan, Sao Tome and Principe, Uganda, Viet Nam, Yemen",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/adaptation-climate-change-coastal-zone-vanuatu-phase-ii-vcap-ii"" target='_blank'>Adaptation to Climate Change in the Coastal Zone in Vanuatu – Phase II (VCAP II) </a>","Biodiversity, Climate Change, Land Degradation",12544037,58820000,United Nations Development Programme,Vanuatu,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/brazil-sustaining-healthy-coastal-and-marine-ecosystems-project"" target='_blank'>Brazil Sustaining Healthy Coastal and Marine Ecosystems Project</a>",Biodiversity,14478899,86500000,The World Bank,Brazil,GEF Trust Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/global-cleantech-innovation-programme-gcip-accelerate-uptake-and-investments-innovative"" target='_blank'>Global Cleantech Innovation Programme (GCIP) to accelerate the uptake and investments in innovative cleantech solutions</a>",Climate Change,17972633,137960110,United Nations Industrial Development Organization,"Indonesia, West Papua, Cambodia, Kazakhstan, Morocco, Moldova, Nigeria, Turkey, Ukraine, Uruguay, South Africa",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/gef-7-africa-minigrids-program"" target='_blank'>GEF-7 Africa Minigrids Program </a>",Climate Change,24235308,344310000,United Nations Development Programme,"Angola, Burkina Faso, Djibouti, Ethiopia, Comoros, Madagascar, Malawi, Nigeria, Sudan, Somalia, Eswatini",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/global-programme-support-countries-shift-electric-mobility"" target='_blank'>Global Programme to Support Countries with the Shift to Electric Mobility.</a>",Climate Change,30019317,433088591,United Nations Environment Programme,"Antigua And Barbuda, Armenia, Burundi, Ivory Coast, Chile, Costa Rica, India, Jamaica, St. Lucia, Madagascar, Maldives, Peru, Seychelles, Sierra Leone, Togo, Ukraine, Uzbekistan",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/congo-basin-sustainable-landscapes-impact-program-cbsl-ip"" target='_blank'>The Congo Basin Sustainable Landscapes Impact Program (CBSL IP)</a>","Climate Change, Biodiversity, Land Degradation",57201127,387383108,United Nations Environment Programme,"Central African Republic, Republic of the Congo, Cameroon, Gabon, Equatorial Guinea, DR Congo",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/food-systems-land-use-and-restoration-folur-impact-program-addendum"" target='_blank'>Food Systems, Land Use and Restoration (FOLUR) Impact Program Addendum</a>","Biodiversity, Land Degradation, Climate Change",67922022,768939498,The World Bank,"Brazil, India, Nigeria, Paraguay, Uganda",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/global-wildlife-program"" target='_blank'>Global Wildlife Program </a>","Climate Change, Biodiversity",82284804,483291060,The World Bank,"Angola, Bhutan, Belize, Ecuador, Indonesia, West Papua, India, Cambodia, Madagascar, Namibia, Panama, Chad, South Africa, DR Congo",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/amazon-sustainable-landscapes-program-phase-ii"" target='_blank'>Amazon Sustainable Landscapes Program - Phase II</a>","Biodiversity, Climate Change, Land Degradation",88305273,509513896,The World Bank,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, Suriname",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/sustainable-forest-management-impact-program-dryland-sustainable-landscapes"" target='_blank'>Sustainable Forest Management Impact Program on Dryland Sustainable Landscapes</a>","Climate Change, Biodiversity, Land Degradation",95844674,809137990,Food and Agriculture Organization,"Angola, Burkina Faso, Botswana, Kenya, Kazakhstan, Mongolia, Malawi, Mozambique, Namibia, Tanzania, Zimbabwe",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/sustainable-cities-impact-program"" target='_blank'>Sustainable Cities Impact Program</a>","Biodiversity, Land Degradation, Climate Change",146742453,1689754351,United Nations Environment Programme,"Argentina, Brazil, China, Costa Rica, Indonesia, West Papua, India, Morocco, Rwanda, Sierra Leone",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/food-systems-land-use-and-restoration-folur-impact-program"" target='_blank'>Food Systems, Land Use and Restoration (FOLUR) Impact Program</a>","Climate Change, Biodiversity, Land Degradation",281190576,2515392390,The World Bank,"Burundi, Brazil, Ivory Coast, China, Colombia, Ethiopia, Ghana, Guatemala, Indonesia, West Papua, India, Kazakhstan, Liberia, Mexico, Island Malaysia, Peninsular Malaysia, Nigeria, Peru, Papua New Guinea, Paraguay, Thailand, Tanzania, Ukraine, Uganda, Viet Nam",GEF Trust Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.thegef.org/project/csids-soilcare-phase1-caribbean-small-island-developing-states-sids-multicountry-soil"" target='_blank'>CSIDS-SOILCARE Phase1: Caribbean Small Island Developing States (SIDS) multicountry soil management initiative for Integrated Landscape Restoration and climate-resilient food systems</a>","Land Degradation, Climate Change",7515936,16000000,Food and Agriculture Organization,"Antigua And Barbuda, Belize, Grenada, Guyana, Haiti, Jamaica, St. Lucia",GEF Trust Fund,2018 - 2022,Concept Approved,0,Transnational
"<a href=""https://www.thegef.org/project/ecosystemslandscape-approach-climate-proof-rural-settlement-program-rwanda"" target='_blank'>Ecosystems/Landscape approach to climate proof the Rural Settlement Program of Rwanda</a>",Climate Change,8355638,22360000,United Nations Development Programme,Rwanda,Least Developed Countries Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/enhancing-adaptive-capacity-communities-scaling-best-practices-and-adopting-integrated"" target='_blank'>Enhancing Adaptive Capacity of communities by up-scaling best practices and adopting an integrated approach in Ethiopia</a>",Climate Change,8932420,72200000,United Nations Development Programme,Ethiopia,Least Developed Countries Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/promoting-climate-resilient-livelihoods-rice-based-communities-tonle-sap-region"" target='_blank'>Promoting Climate-Resilient Livelihoods in Rice-Based Communities in the Tonle Sap Region</a>",Climate Change,8932420,62263553,Food and Agriculture Organization,Cambodia,Least Developed Countries Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/rice-adapt-promoting-climate-resilient-livelihoods-rice-farming-communities-lower-ayeyarwady"" target='_blank'>RICE-Adapt: Promoting Climate-Resilient Livelihoods in Rice-Farming Communities in the lower Ayeyarwady and Sittaung River Basins</a>",Climate Change,8932420,40000000,Food and Agriculture Organization,Myanmar,Least Developed Countries Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/scaling-local-adaptation-and-climate-risk-informed-planning-resilient-livelihoods"" target='_blank'>Scaling up local adaptation and climate-risk informed planning for resilient livelihoods</a>",Climate Change,8932420,43000000,United Nations Development Programme,Mozambique,Least Developed Countries Fund,2018 - 2022,Concept Approved,1,National
"<a href=""https://www.thegef.org/project/strengthening-adaptive-capacity-and-resilience-communities-ugandas-watersheds"" target='_blank'>Strengthening the Adaptive Capacity and Resilience of Communities in Uganda's watersheds</a>",Climate Change,8949772,90000000,African Development Bank,Uganda,Least Developed Countries Fund,2018 - 2022,Concept Approved,0,National
"<a href=""https://www.thegef.org/project/climate-resilient-urban-development-pacific"" target='_blank'>Climate Resilient Urban Development in the Pacific</a>",Climate Change,16055046,145740000,Asian Development Bank,"Kiribati, Solomon Islands, Tuvalu, Vanuatu",Least Developed Countries Fund,2018 - 2022,Concept Proposed,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3320"" target='_blank'>Analysis of Peru's Energy and Transportation Policies for Amazonia</a>",Environmental Conservation,101700,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5617.01"" target='_blank'>Book Project: Ten Years After A Perfect Storm in the Amazon Wilderness</a>",Environmental Conservation,104000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1963.01"" target='_blank'>Fire, Land Use, and the Savannization of Seasonally Dry Amazon Forests</a>",Environmental Conservation,111476,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4020"" target='_blank'>Sustainable Finance of Peru's Protected Area System</a>",Environmental Conservation,112288,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF196.01"" target='_blank'>Dog Sample Validation</a>",Environmental Conservation,126000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4503"" target='_blank'>Environmental Impacts of the Peace Process on the Colombian Amazon</a>",Environmental Conservation,126000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3408"" target='_blank'>Mainstreaming innovative approaches to protected area management in Brazil</a>",Environmental Conservation,132500,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1966"" target='_blank'>Ecological Income Tax Exemption Working Group</a>",Environmental Conservation,133099,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8673"" target='_blank'>
Infrastructure Training Program: Sector Context and Transactions</a>",Environmental Conservation,150000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8679"" target='_blank'>
Protecting the Free-flowing Rivers of the Marañón Basin of Peru</a>",Environmental Conservation,150000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2051.02"" target='_blank'>Alto Purús Protection Initiative</a>",Environmental Conservation,150000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4262"" target='_blank'>Designing innovative fiscal and tax incentives for protected areas and indigenous lands in the Brazilian Amazon</a>",Environmental Conservation,150000,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4615"" target='_blank'>Territorial Performance System for reducing deforestation in the Brazilian Amazon</a>",Environmental Conservation,150000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF619"" target='_blank'>Turneffe Atoll Acquisition, Belize</a>",Environmental Conservation,150000,0,,Belize,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6941"" target='_blank'>Sustainable Natural Resource Use in the Andes Amazon</a>",Environmental Conservation,150000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1762"" target='_blank'>Environmental Law Enforcement in the Brazilian Amazon</a>",Environmental Conservation,159277,0,,Brazil,Moore Foundation,,,0,National
